ansatz,variant,n_qubits,depth,cell_estimable_lite,estimable_fraction_expected_lite,seeds_route_estimable_lite,seeds_present_lite,route_required_stats_lite,cell_estimable_full,estimable_fraction_expected_full,seeds_route_estimable_full,seeds_present_full,route_required_stats_full
hea,pcgrad_nm,8,6,True,0.9,27,30,rho_A_lite,True,0.8,24,30,rho_cos_full;rho_C_full
hea,pcgrad_nm,8,8,True,0.7666666666666667,23,30,rho_A_lite,True,0.7666666666666667,23,30,rho_cos_full;rho_C_full
hea,pcgrad_nm,10,4,True,1.0,30,30,rho_A_lite,True,0.7666666666666667,23,30,rho_cos_full;rho_C_full
hea,pcgrad_nm,10,6,True,0.7666666666666667,23,30,rho_A_lite,False,0.43333333333333335,13,30,rho_cos_full;rho_C_full
hea,pcgrad_nm,10,8,False,0.4666666666666667,14,30,rho_A_lite,False,0.43333333333333335,13,30,rho_cos_full;rho_C_full
hea,vanilla,4,4,False,0.6333333333333333,19,30,rho_A_lite,True,0.9666666666666667,29,30,rho_C_full
hea,vanilla,4,6,False,0.43333333333333335,13,30,rho_A_lite,True,0.9,27,30,rho_C_full
hea,vanilla,4,8,False,0.3333333333333333,10,30,rho_A_lite,True,0.9,27,30,rho_C_full
hea,vanilla,6,4,True,0.8666666666666667,26,30,rho_A_lite,True,1.0,30,30,rho_C_full
hea,vanilla,6,6,False,0.4,12,30,rho_A_lite,True,0.9333333333333333,28,30,rho_C_full
hea,vanilla,6,8,False,0.3333333333333333,10,30,rho_A_lite,True,0.9,27,30,rho_C_full
hea,vanilla,8,4,True,1.0,30,30,rho_A_lite,True,1.0,30,30,rho_C_full
hea,vanilla,8,6,True,0.8333333333333334,25,30,rho_A_lite,True,0.9,27,30,rho_C_full
hea,vanilla,8,8,False,0.43333333333333335,13,30,rho_A_lite,True,0.8,24,30,rho_C_full
hea,vanilla,10,4,True,0.9333333333333333,28,30,rho_A_lite,True,1.0,30,30,rho_C_full
hea,vanilla,10,6,True,0.9666666666666667,29,30,rho_A_lite,True,1.0,30,30,rho_C_full
hea,vanilla,10,8,False,0.5333333333333333,16,30,rho_A_lite,True,0.8666666666666667,26,30,rho_C_full
hea,vanilla_ls_nm,4,4,False,0.6333333333333333,19,30,rho_A_lite;rho_nu_lite,True,0.9666666666666667,29,30,rho_nu_full;rho_C_full
hea,vanilla_ls_nm,4,6,False,0.5,15,30,rho_A_lite;rho_nu_lite,True,0.9,27,30,rho_nu_full;rho_C_full
hea,vanilla_ls_nm,4,8,False,0.23333333333333334,7,30,rho_A_lite;rho_nu_lite,True,0.7666666666666667,23,30,rho_nu_full;rho_C_full
hea,vanilla_ls_nm,6,4,True,0.8666666666666667,26,30,rho_A_lite;rho_nu_lite,True,0.9,27,30,rho_nu_full;rho_C_full
hea,vanilla_ls_nm,6,6,False,0.6,18,30,rho_A_lite;rho_nu_lite,True,0.9666666666666667,29,30,rho_nu_full;rho_C_full
hea,vanilla_ls_nm,6,8,False,0.3333333333333333,10,30,rho_A_lite;rho_nu_lite,True,0.8666666666666667,26,30,rho_nu_full;rho_C_full
hea,vanilla_ls_nm,8,4,True,0.8666666666666667,26,30,rho_A_lite;rho_nu_lite,True,0.9333333333333333,28,30,rho_nu_full;rho_C_full
hea,vanilla_ls_nm,8,6,True,0.8666666666666667,26,30,rho_A_lite;rho_nu_lite,True,0.9666666666666667,29,30,rho_nu_full;rho_C_full
hea,vanilla_ls_nm,8,8,False,0.6,18,30,rho_A_lite;rho_nu_lite,True,1.0,30,30,rho_nu_full;rho_C_full
hea,vanilla_ls_nm,10,4,True,0.8666666666666667,26,30,rho_A_lite;rho_nu_lite,True,0.9,27,30,rho_nu_full;rho_C_full
hea,vanilla_ls_nm,10,6,True,0.9333333333333333,28,30,rho_A_lite;rho_nu_lite,True,1.0,30,30,rho_nu_full;rho_C_full
hea,vanilla_ls_nm,10,8,False,0.5333333333333333,16,30,rho_A_lite;rho_nu_lite,True,0.9333333333333333,28,30,rho_nu_full;rho_C_full
hva,lso_grid,4,4,True,0.7666666666666667,23,30,rho_A_lite;rho_nu_lite,True,0.9666666666666667,29,30,rho_nu_full;rho_C_full
hva,lso_grid,4,6,True,0.8666666666666667,26,30,rho_A_lite;rho_nu_lite,True,0.9666666666666667,29,30,rho_nu_full;rho_C_full
hva,lso_grid,4,8,True,0.8,24,30,rho_A_lite;rho_nu_lite,True,0.7666666666666667,23,30,rho_nu_full;rho_C_full
hva,lso_grid,6,4,True,0.7,21,30,rho_A_lite;rho_nu_lite,True,1.0,30,30,rho_nu_full;rho_C_full
hva,lso_grid,6,6,True,0.8333333333333334,25,30,rho_A_lite;rho_nu_lite,True,0.9333333333333333,28,30,rho_nu_full;rho_C_full
hva,lso_grid,6,8,True,0.7333333333333333,22,30,rho_A_lite;rho_nu_lite,True,0.9333333333333333,28,30,rho_nu_full;rho_C_full
hva,lso_grid,8,4,False,0.6,18,30,rho_A_lite;rho_nu_lite,True,0.9333333333333333,28,30,rho_nu_full;rho_C_full
hva,lso_grid,8,6,True,0.9,27,30,rho_A_lite;rho_nu_lite,True,0.9666666666666667,29,30,rho_nu_full;rho_C_full
hva,lso_grid,8,8,True,0.7666666666666667,23,30,rho_A_lite;rho_nu_lite,True,0.9666666666666667,29,30,rho_nu_full;rho_C_full
hva,lso_grid,10,4,True,0.7333333333333333,22,30,rho_A_lite;rho_nu_lite,True,0.9666666666666667,29,30,rho_nu_full;rho_C_full
hva,lso_grid,10,6,True,0.9333333333333333,28,30,rho_A_lite;rho_nu_lite,True,1.0,30,30,rho_nu_full;rho_C_full
hva,lso_grid,10,8,True,0.7666666666666667,23,30,rho_A_lite;rho_nu_lite,True,0.9666666666666667,29,30,rho_nu_full;rho_C_full
hva,lso_pcgrad,4,4,False,0.4,12,30,rho_A_lite;rho_nu_lite,False,0.23333333333333334,7,30,rho_nu_full;rho_C_full
hva,lso_pcgrad,4,6,False,0.3333333333333333,10,30,rho_A_lite;rho_nu_lite,False,0.26666666666666666,8,30,rho_nu_full;rho_C_full
hva,lso_pcgrad,4,8,False,0.36666666666666664,11,30,rho_A_lite;rho_nu_lite,False,0.2,6,30,rho_nu_full;rho_C_full
hva,lso_pcgrad,6,4,False,0.36666666666666664,11,30,rho_A_lite;rho_nu_lite,False,0.26666666666666666,8,30,rho_nu_full;rho_C_full
hva,lso_pcgrad,6,6,False,0.4,12,30,rho_A_lite;rho_nu_lite,False,0.23333333333333334,7,30,rho_nu_full;rho_C_full
hva,lso_pcgrad,6,8,False,0.2,6,30,rho_A_lite;rho_nu_lite,False,0.06666666666666667,2,30,rho_nu_full;rho_C_full
hva,lso_pcgrad,8,4,False,0.3333333333333333,10,30,rho_A_lite;rho_nu_lite,False,0.26666666666666666,8,30,rho_nu_full;rho_C_full
hva,lso_pcgrad,8,6,False,0.4,12,30,rho_A_lite;rho_nu_lite,False,0.1,3,30,rho_nu_full;rho_C_full
hva,lso_pcgrad,8,8,False,0.36666666666666664,11,30,rho_A_lite;rho_nu_lite,False,0.1,3,30,rho_nu_full;rho_C_full
hva,lso_pcgrad,10,4,False,0.5333333333333333,16,30,rho_A_lite;rho_nu_lite,False,0.16666666666666666,5,30,rho_nu_full;rho_C_full
hva,lso_pcgrad,10,6,False,0.36666666666666664,11,30,rho_A_lite;rho_nu_lite,False,0.03333333333333333,1,30,rho_nu_full;rho_C_full
hva,lso_pcgrad,10,8,False,0.16666666666666666,5,30,rho_A_lite;rho_nu_lite,False,0.06666666666666667,2,30,rho_nu_full;rho_C_full
hva,pcgrad,4,4,True,1.0,30,30,rho_A_lite;rho_nu_lite,True,1.0,30,30,rho_nu_full;rho_C_full
hva,pcgrad,4,6,True,1.0,30,30,rho_A_lite;rho_nu_lite,True,0.9666666666666667,29,30,rho_nu_full;rho_C_full
hva,pcgrad,4,8,True,0.9666666666666667,29,30,rho_A_lite;rho_nu_lite,True,0.8666666666666667,26,30,rho_nu_full;rho_C_full
hva,pcgrad,6,4,True,0.9666666666666667,29,30,rho_A_lite;rho_nu_lite,True,0.9666666666666667,29,30,rho_nu_full;rho_C_full
hva,pcgrad,6,6,True,1.0,30,30,rho_A_lite;rho_nu_lite,True,1.0,30,30,rho_nu_full;rho_C_full
hva,pcgrad,6,8,True,1.0,30,30,rho_A_lite;rho_nu_lite,True,0.9333333333333333,28,30,rho_nu_full;rho_C_full
hva,pcgrad,8,4,True,1.0,30,30,rho_A_lite;rho_nu_lite,True,1.0,30,30,rho_nu_full;rho_C_full
hva,pcgrad,8,6,True,1.0,30,30,rho_A_lite;rho_nu_lite,True,0.9666666666666667,29,30,rho_nu_full;rho_C_full
hva,pcgrad,8,8,True,1.0,30,30,rho_A_lite;rho_nu_lite,True,0.9,27,30,rho_nu_full;rho_C_full
hva,pcgrad,10,4,True,1.0,30,30,rho_A_lite;rho_nu_lite,True,0.9,27,30,rho_nu_full;rho_C_full
hva,pcgrad,10,6,True,1.0,30,30,rho_A_lite;rho_nu_lite,True,0.9,27,30,rho_nu_full;rho_C_full
hva,pcgrad,10,8,True,0.9666666666666667,29,30,rho_A_lite;rho_nu_lite,True,0.8333333333333334,25,30,rho_nu_full;rho_C_full
hva,pcgrad_nm,4,4,True,1.0,30,30,rho_A_lite,True,1.0,30,30,rho_cos_full;rho_C_full
hva,pcgrad_nm,4,6,True,1.0,30,30,rho_A_lite,True,1.0,30,30,rho_cos_full;rho_C_full
hva,pcgrad_nm,4,8,True,1.0,30,30,rho_A_lite,True,1.0,30,30,rho_cos_full;rho_C_full
hva,pcgrad_nm,6,4,True,1.0,30,30,rho_A_lite,True,1.0,30,30,rho_cos_full;rho_C_full
hva,pcgrad_nm,6,6,True,1.0,30,30,rho_A_lite,True,1.0,30,30,rho_cos_full;rho_C_full
hva,pcgrad_nm,6,8,True,1.0,30,30,rho_A_lite,True,1.0,30,30,rho_cos_full;rho_C_full
hva,pcgrad_nm,8,4,True,1.0,30,30,rho_A_lite,True,1.0,30,30,rho_cos_full;rho_C_full
hva,pcgrad_nm,8,6,True,1.0,30,30,rho_A_lite,True,1.0,30,30,rho_cos_full;rho_C_full
hva,pcgrad_nm,8,8,True,1.0,30,30,rho_A_lite,True,1.0,30,30,rho_cos_full;rho_C_full
hva,pcgrad_nm,10,4,True,1.0,30,30,rho_A_lite,True,1.0,30,30,rho_cos_full;rho_C_full
hva,pcgrad_nm,10,6,True,1.0,30,30,rho_A_lite,True,1.0,30,30,rho_cos_full;rho_C_full
hva,pcgrad_nm,10,8,True,1.0,30,30,rho_A_lite,True,1.0,30,30,rho_cos_full;rho_C_full
hva,vanilla,4,4,False,0.36666666666666664,11,30,rho_A_lite,True,0.9,27,30,rho_C_full
hva,vanilla,4,6,False,0.36666666666666664,11,30,rho_A_lite,True,0.8666666666666667,26,30,rho_C_full
hva,vanilla,4,8,False,0.43333333333333335,13,30,rho_A_lite,True,0.8,24,30,rho_C_full
hva,vanilla,6,4,False,0.3333333333333333,10,30,rho_A_lite,True,1.0,30,30,rho_C_full
hva,vanilla,6,6,False,0.6,18,30,rho_A_lite,True,0.9333333333333333,28,30,rho_C_full
hva,vanilla,6,8,False,0.4666666666666667,14,30,rho_A_lite,True,0.9666666666666667,29,30,rho_C_full
hva,vanilla,8,4,False,0.4666666666666667,14,30,rho_A_lite,True,0.9666666666666667,29,30,rho_C_full
hva,vanilla,8,6,False,0.5,15,30,rho_A_lite,True,1.0,30,30,rho_C_full
hva,vanilla,8,8,False,0.5,15,30,rho_A_lite,True,1.0,30,30,rho_C_full
hva,vanilla,10,4,True,0.6666666666666666,20,30,rho_A_lite,True,0.9,27,30,rho_C_full
hva,vanilla,10,6,False,0.5,15,30,rho_A_lite,True,0.9333333333333333,28,30,rho_C_full
hva,vanilla,10,8,False,0.23333333333333334,7,30,rho_A_lite,True,0.9333333333333333,28,30,rho_C_full
hva,vanilla_ls_nm,4,4,False,0.3,9,30,rho_A_lite;rho_nu_lite,True,1.0,30,30,rho_nu_full;rho_C_full
hva,vanilla_ls_nm,4,6,False,0.4,12,30,rho_A_lite;rho_nu_lite,True,0.8666666666666667,26,30,rho_nu_full;rho_C_full
hva,vanilla_ls_nm,4,8,False,0.4666666666666667,14,30,rho_A_lite;rho_nu_lite,False,0.6,18,30,rho_nu_full;rho_C_full
hva,vanilla_ls_nm,6,4,False,0.4666666666666667,14,30,rho_A_lite;rho_nu_lite,True,0.9666666666666667,29,30,rho_nu_full;rho_C_full
hva,vanilla_ls_nm,6,6,False,0.5333333333333333,16,30,rho_A_lite;rho_nu_lite,True,0.9333333333333333,28,30,rho_nu_full;rho_C_full
hva,vanilla_ls_nm,6,8,False,0.4,12,30,rho_A_lite;rho_nu_lite,True,1.0,30,30,rho_nu_full;rho_C_full
hva,vanilla_ls_nm,8,4,False,0.5333333333333333,16,30,rho_A_lite;rho_nu_lite,True,0.9,27,30,rho_nu_full;rho_C_full
hva,vanilla_ls_nm,8,6,False,0.5,15,30,rho_A_lite;rho_nu_lite,True,0.9,27,30,rho_nu_full;rho_C_full
hva,vanilla_ls_nm,8,8,False,0.4,12,30,rho_A_lite;rho_nu_lite,True,0.8333333333333334,25,30,rho_nu_full;rho_C_full
hva,vanilla_ls_nm,10,4,False,0.5333333333333333,16,30,rho_A_lite;rho_nu_lite,True,0.9666666666666667,29,30,rho_nu_full;rho_C_full
hva,vanilla_ls_nm,10,6,False,0.5333333333333333,16,30,rho_A_lite;rho_nu_lite,True,0.9333333333333333,28,30,rho_nu_full;rho_C_full
hva,vanilla_ls_nm,10,8,False,0.36666666666666664,11,30,rho_A_lite;rho_nu_lite,True,0.8666666666666667,26,30,rho_nu_full;rho_C_full
